session_key,meeting_key,team_name,track_name,starting_position,starting_compound,pit_stops,target_compound,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rainfall_sum,rain_minutes_ratio
9135,1216,Alfa Romeo,Spa-Francorchamps,15.0,INTERMEDIATE,6,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,AlphaTauri,Spa-Francorchamps,15.0,INTERMEDIATE,6,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Alpine,Spa-Francorchamps,13.0,INTERMEDIATE,8,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Aston Martin,Spa-Francorchamps,9.5,INTERMEDIATE,13,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Ferrari,Spa-Francorchamps,2.5,INTERMEDIATE,12,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Haas F1 Team,Spa-Francorchamps,18.0,INTERMEDIATE,6,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,McLaren,Spa-Francorchamps,6.0,INTERMEDIATE,12,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Mercedes,Spa-Francorchamps,5.5,INTERMEDIATE,12,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Red Bull Racing,Spa-Francorchamps,4.0,INTERMEDIATE,10,SOFT,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9135,1216,Williams,Spa-Francorchamps,16.5,INTERMEDIATE,3,INTERMEDIATE,19.25157894736842,20.3,23.644210526315778,26.6,88.67368421052632,1.0652631578947365,1.0,0.010526315789473684
9140,1216,Alfa Romeo,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,AlphaTauri,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Alpine,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Aston Martin,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Ferrari,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,Haas F1 Team,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
9140,1216,McLaren,Spa-Francorchamps,10.0,WET,1,INTERMEDIATE,19.57833333333333,21.7,27.29416666666667,31.8,77.00833333333334,1.1324999999999998,40.0,0.3333333333333333
